"course_id","stu_name","stu_no","stu_nusnet_id","stu_email","week_no","res","stu_internal_id"
1,"Student1","A1084723","nusnet285","student1@example.com",1,0,1
1,"Student1","A1084723","nusnet285","student1@example.com",2,1,1
1,"Student1","A1084723","nusnet285","student1@example.com",3,1,1
1,"Student1","A1084723","nusnet285","student1@example.com",4,0,1
1,"Student1","A1084723","nusnet285","student1@example.com",5,0,1
1,"Student1","A1084723","nusnet285","student1@example.com",6,1,1
1,"Student1","A1084723","nusnet285","student1@example.com",7,1,1
1,"Student1","A1084723","nusnet285","student1@example.com",8,0,1
1,"Student1","A1084723","nusnet285","student1@example.com",9,1,1
1,"Student1","A1084723","nusnet285","student1@example.com",10,0,1
1,"Student1","A1084723","nusnet285","student1@example.com",11,1,1
1,"Student1","A1084723","nusnet285","student1@example.com",12,1,1
1,"Student1","A1084723","nusnet285","student1@example.com",13,1,1
1,"Student2","A6202576","nusnet300","student2@example.com",1,0,2
1,"Student2","A6202576","nusnet300","student2@example.com",2,0,2
1,"Student2","A6202576","nusnet300","student2@example.com",3,0,2
1,"Student2","A6202576","nusnet300","student2@example.com",4,1,2
1,"Student2","A6202576","nusnet300","student2@example.com",5,1,2
1,"Student2","A6202576","nusnet300","student2@example.com",6,1,2
1,"Student2","A6202576","nusnet300","student2@example.com",7,0,2
1,"Student2","A6202576","nusnet300","student2@example.com",8,1,2
1,"Student2","A6202576","nusnet300","student2@example.com",9,1,2
1,"Student2","A6202576","nusnet300","student2@example.com",10,1,2
1,"Student2","A6202576","nusnet300","student2@example.com",11,1,2
1,"Student2","A6202576","nusnet300","student2@example.com",12,1,2
1,"Student2","A6202576","nusnet300","student2@example.com",13,0,2
1,"Student3","A7321246","nusnet531","student3@example.com",1,0,3
1,"Student3","A7321246","nusnet531","student3@example.com",2,0,3
1,"Student3","A7321246","nusnet531","student3@example.com",3,0,3
1,"Student3","A7321246","nusnet531","student3@example.com",4,0,3
1,"Student3","A7321246","nusnet531","student3@example.com",5,1,3
1,"Student3","A7321246","nusnet531","student3@example.com",6,0,3
1,"Student3","A7321246","nusnet531","student3@example.com",7,0,3
1,"Student3","A7321246","nusnet531","student3@example.com",8,0,3
1,"Student3","A7321246","nusnet531","student3@example.com",9,1,3
1,"Student3","A7321246","nusnet531","student3@example.com",10,1,3
1,"Student3","A7321246","nusnet531","student3@example.com",11,1,3
1,"Student3","A7321246","nusnet531","student3@example.com",12,0,3
1,"Student3","A7321246","nusnet531","student3@example.com",13,1,3
1,"Student4","A2929777","nusnet172","student4@example.com",1,0,4
1,"Student4","A2929777","nusnet172","student4@example.com",2,0,4
1,"Student4","A2929777","nusnet172","student4@example.com",3,0,4
1,"Student4","A2929777","nusnet172","student4@example.com",4,1,4
